reg;vaccin;jour;n_tot_dose1;n_tot_dose2;n_tot_dose3;n_tot_dose4;n_tot_complet;n_tot_rappel;n_tot_2_rappel;n_tot_rappel_biv;n_tot_3_rappel
04;8;2023-07-10;262;436;1444;5782;258;1619;5827;10221;2626
04;9;2023-07-10;1;2;12;20;1;12;18;42;12
04;10;2023-07-10;2;1;4;1;1;4;1;0;0
04;12;2023-07-10;0;2;3;1;0;5;1;7;1
06;1;2023-07-10;161365;134234;44907;600;138982;49379;1579;0;23
06;2;2023-07-10;460;500;651;9;443;762;13;0;0
06;3;2023-07-10;97;44;1;0;47;1;0;0;0
06;4;2023-07-10;101;2;0;0;101;2;0;0;0
06;5;2023-07-10;283;161;4;0;173;4;0;0;0
06;6;2023-07-10;9;5;0;1;7;0;1;0;0
06;8;2023-07-10;83;131;1490;331;77;1416;445;1929;65
06;9;2023-07-10;0;1;4;4;1;4;4;9;1
06;12;2023-07-10;0;0;1;2;0;1;2;3;0
07;1;2023-07-10;7952;7714;5169;260;7746;5656;366;0;17
07;2;2023-07-10;579;557;278;10;544;350;10;0;0
07;3;2023-07-10;140;97;2;0;108;2;0;0;0
07;4;2023-07-10;308;11;1;0;311;8;1;0;0
07;5;2023-07-10;17;12;0;0;15;0;0;0;0
07;6;2023-07-10;16;14;1;0;15;0;1;0;0
07;8;2023-07-10;6;8;20;81;6;23;80;136;30
07;9;2023-07-10;0;0;0;0;0;0;0;2;2
08;1;2023-07-10;13595;11953;6029;436;12891;6548;525;0;9
08;2;2023-07-10;833;750;289;8;783;323;13;0;0
08;3;2023-07-10;212;115;1;0;119;1;0;0;0
08;4;2023-07-10;86;1;0;0;86;1;0;0;0
08;5;2023-07-10;56;47;1;0;47;1;0;0;0
08;6;2023-07-10;23;12;1;6;19;1;6;0;0
08;8;2023-07-10;52;70;48;201;58;65;197;361;96
08;9;2023-07-10;0;0;2;0;0;0;2;5;3
08;12;2023-07-10;0;1;0;0;1;0;0;0;0
11;1;2023-07-10;7652878;7318939;4342927;855958;7693871;4844776;929704;0;15941
11;2;2023-07-10;911077;1054328;1788995;49665;915996;2037818;66666;0;1063
11;3;2023-07-10;648526;462442;518;0;500214;479;14;0;0
11;4;2023-07-10;121669;1229;334;17;121876;850;154;0;2
11;5;2023-07-10;48727;30908;627;222;41502;1142;274;0;19
11;6;2023-07-10;2879;2242;468;643;2675;658;635;0;135
11;8;2023-07-10;5431;12534;78197;536614;5466;53165;558785;991325;361363
11;9;2023-07-10;174;423;3153;25443;202;1814;26274;38721;10427
11;10;2023-07-10;64;48;197;855;26;133;909;0;459
11;11;2023-07-10;0;0;0;1;0;0;1;0;0
11;12;2023-07-10;51;117;402;1295;48;292;1442;4819;2225
24;1;2023-07-10;1595838;1584509;1080297;289117;1602870;1139934;299077;0;5894
24;2;2023-07-10;237035;273661;469399;19362;240490;511159;24708;0;364
24;3;2023-07-10;187871;154192;199;0;159386;45;1;0;0
24;4;2023-07-10;46710;114;25;0;46734;48;4;0;0
24;5;2023-07-10;11663;8086;153;41;9368;184;46;0;2
24;6;2023-07-10;515;402;60;101;480;79;121;0;25
24;8;2023-07-10;869;1473;13553;146530;815;9610;148364;273065;109896
24;9;2023-07-10;33;60;591;6869;34;399;6914;10221;2863
24;10;2023-07-10;6;7;19;95;5;22;91;0;94
24;12;2023-07-10;13;26;87;352;14;74;364;1481;805
27;1;2023-07-10;1664988;1652566;1165604;265539;1674189;1253859;275418;0;4124
